step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.317828997357894,0,0.0,0.9376478947062408,0,0.0
10.0,0,0.0,0.0,13.015465363073142,0,0.0,0.9632688742907616,0,0.0
15.0,0,0.0,0.0,12.62275691980346,0,0.0,0.936098153578806,0,0.0
20.0,0,0.0,0.0,12.818485737147805,0,0.0,0.935556735325124,0,0.0
25.0,0,0.0,0.0,12.079993788752674,0,0.0,0.8968187138436463,0,0.0
30.0,3,5.0,0.09803921568627451,11.490382628422198,3,5.0,0.8646974631468592,3,5.0
35.0,0,0.0,0.0,11.991272227345831,0,0.0,0.922025210538804,0,0.0
40.0,0,0.0,0.0,12.378456774033582,0,0.0,0.8996344911577127,0,0.0
45.0,4,6.0,0.08,11.482473905110751,4,6.0,0.8160708004730421,4,6.0
50.0,9,31.0,0.38271604938271603,10.962083583091978,9,31.0,0.753666582360606,9,31.0
55.0,13,89.0,0.978021978021978,10.217757493387952,13,89.0,0.6941356658981324,13,89.0
60.0,6,72.0,0.7578947368421053,10.526604500692786,6,95.0,0.7568834892351046,6,95.0
65.0,6,102.0,1.0,11.403662352896253,6,102.0,0.7980160561095564,6,102.0
70.0,6,132.0,1.2222222222222223,10.606765950731036,6,132.0,0.724032233406273,6,132.0
75.0,18,204.0,1.8053097345132743,10.004436122613855,18,204.0,0.6803177575779262,18,204.0
80.0,11,214.0,1.8135593220338984,9.568420919744117,11,226.0,0.6473128058189886,11,226.0
85.0,20,296.0,2.4065040650406506,9.98747375187347,20,296.0,0.6488212279712575,20,296.0
90.0,23,401.0,3.208,10.047407216525908,23,402.0,0.655230167224363,23,402.0
95.0,18,214.0,1.646153846153846,10.046909070881526,18,371.0,0.659841778592155,18,371.0
100.0,16,187.0,1.3955223880597014,9.998690002590799,16,294.0,0.651978957799392,16,294.0
105.0,18,134.0,0.9852941176470589,9.61166444473198,18,280.0,0.6284404230433429,18,280.0
110.0,26,157.0,1.1376811594202898,9.214418173465026,26,288.0,0.5800307347516805,26,288.0
115.0,32,299.0,2.1666666666666665,8.992655548337263,32,389.0,0.5544161077379125,32,389.0
120.0,16,128.0,0.8888888888888888,9.019176686336959,16,381.0,0.5690904990764853,16,381.0
125.0,18,191.0,1.2905405405405406,10.144975772349955,18,289.0,0.6310458230470257,18,289.0
130.0,22,293.0,1.9025974025974026,10.351639478234395,22,383.0,0.62792211234143,22,383.0
