step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.023694366863186,0,0.0,0.9241459145035905,0,0.0
10.0,0,0.0,0.0,13.752731607301971,0,0.0,0.9666710841386867,0,0.0
15.0,0,0.0,0.0,14.02925509708106,0,0.0,0.9566636365896896,0,0.0
20.0,0,0.0,0.0,13.631680402114716,0,0.0,0.940236800582696,0,0.0
25.0,0,0.0,0.0,12.931576705627934,0,0.0,0.9091501198967797,0,0.0
30.0,3,6.0,0.11764705882352941,11.378294161789489,3,6.0,0.8387131681513716,3,6.0
35.0,5,27.0,0.4576271186440678,11.1646184403422,5,27.0,0.8342143951487991,5,27.0
40.0,8,62.0,0.9393939393939394,10.609714816892698,8,62.0,0.7982764290728518,8,62.0
45.0,2,20.0,0.26666666666666666,10.244173113725722,2,27.0,0.7960329647085861,2,27.0
50.0,5,41.0,0.5061728395061729,11.442001087119475,5,41.0,0.8228875563341733,5,41.0
55.0,4,53.0,0.5824175824175825,11.249594402820156,4,53.0,0.8097152507445617,4,53.0
60.0,9,90.0,0.9278350515463918,11.048285927641295,9,90.0,0.7700629857450502,9,90.0
65.0,7,107.0,1.019047619047619,11.19276515186266,7,107.0,0.7833875528212064,7,107.0
70.0,9,146.0,1.3272727272727274,11.313285781902366,9,144.0,0.760915759794479,9,144.0
75.0,11,174.0,1.5263157894736843,11.275489641071863,11,174.0,0.7647107498587024,11,174.0
80.0,15,236.0,2.0,10.389361538966275,15,236.0,0.666814235269339,15,236.0
85.0,16,94.0,0.7899159663865546,9.569599795596242,16,196.0,0.6098800686872494,16,196.0
90.0,19,138.0,1.1129032258064515,9.706384493478199,19,166.0,0.6090645242471086,19,166.0
95.0,11,58.0,0.453125,9.157151725862178,11,167.0,0.6154198163119552,11,167.0
100.0,13,75.0,0.5681818181818182,10.335848307122843,13,140.0,0.6812224160334704,13,140.0
105.0,15,142.0,1.0757575757575757,10.924674790731226,15,175.0,0.6953053777139663,15,175.0
110.0,18,223.0,1.6277372262773722,10.522126807015058,18,251.0,0.6571993014466638,18,251.0
115.0,14,169.0,1.1901408450704225,10.487004909060463,14,236.0,0.6641190534212328,14,236.0
120.0,15,218.0,1.4829931972789117,10.40843464540496,14,267.0,0.6664530077393114,14,267.0
125.0,16,267.0,1.8287671232876712,9.927863544191322,16,323.0,0.6266746900384244,16,323.0
130.0,21,357.0,2.4285714285714284,9.891185572813912,21,407.0,0.6340417358742441,21,407.0
135.0,18,410.0,2.7333333333333334,9.927128786674874,18,485.0,0.6371891157721508,18,485.0
140.0,20,485.0,3.2119205298013247,9.922372231106104,20,519.0,0.6257019441379493,20,519.0
145.0,21,285.0,1.9,9.262661067449766,21,489.0,0.5734832789218509,21,489.0
150.0,22,163.0,1.0794701986754967,9.511240848687319,22,349.0,0.5681644019457169,22,349.0
155.0,27,256.0,1.6842105263157894,9.098442500799417,27,408.0,0.5363550449380853,27,408.0
160.0,36,400.0,2.5806451612903225,8.684273303812684,36,552.0,0.5105481363480765,36,552.0
165.0,24,167.0,1.1059602649006623,8.563029497833147,24,544.0,0.5233597828680987,24,544.0
170.0,18,145.0,0.9666666666666667,9.306459359126242,18,375.0,0.5795274752463685,18,375.0
175.0,23,254.0,1.6710526315789473,9.900378075272538,23,419.0,0.6356040720156297,23,419.0
