step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,15.018479797163632,0,0.0,0.9524607730520176,0,0.0
10.0,0,0.0,0.0,14.540012510891394,0,0.0,0.9507881612796771,0,0.0
15.0,0,0.0,0.0,14.730424237437726,0,0.0,0.9210390348110469,0,0.0
20.0,0,0.0,0.0,14.797136320875792,0,0.0,0.9289214375322716,0,0.0
25.0,1,1.0,0.023255813953488372,13.020311597958987,1,1.0,0.8552344149171583,1,1.0
30.0,4,17.0,0.3333333333333333,12.362547806602159,4,17.0,0.8414448129367602,4,17.0
35.0,5,31.0,0.5254237288135594,11.33639004296509,5,31.0,0.7985027359449435,5,31.0
40.0,7,64.0,0.9696969696969697,11.159028773747842,7,64.0,0.7679797076611553,7,64.0
45.0,10,110.0,1.4666666666666666,10.896195307740813,10,110.0,0.7442669426022682,10,110.0
50.0,2,16.0,0.2,10.637343118711764,2,43.0,0.7833209143274286,2,43.0
55.0,3,27.0,0.3,12.101720801818889,3,27.0,0.8405468536715947,3,27.0
60.0,7,54.0,0.5625,11.458392802551153,7,54.0,0.7764022126275669,7,54.0
65.0,15,114.0,1.0857142857142856,11.035763399724628,15,114.0,0.7115988929758545,15,114.0
70.0,10,109.0,0.9732142857142857,10.661715693321257,10,131.0,0.7266468770512946,10,131.0
75.0,12,166.0,1.4434782608695653,10.850323731889933,12,166.0,0.7336633303499603,12,166.0
80.0,15,223.0,1.8898305084745763,10.38240078140752,15,225.0,0.6953568109537995,15,225.0
85.0,21,316.0,2.6115702479338845,9.508418025531393,21,316.0,0.6108278592818982,21,316.0
90.0,20,151.0,1.1796875,9.582378538543608,20,300.0,0.6390251419582845,20,300.0
95.0,16,160.0,1.2213740458015268,9.187040148378022,16,246.0,0.6094757879536244,16,246.0
100.0,23,265.0,1.9776119402985075,9.56572690968206,23,281.0,0.6060628087661971,23,281.0
105.0,29,398.0,2.8840579710144927,9.063645777758873,29,403.0,0.5796473645144021,29,403.0
110.0,35,557.0,3.9225352112676055,8.885061872662686,35,557.0,0.5442153997069313,35,557.0
115.0,37,696.0,4.9714285714285715,8.38960439335901,37,704.0,0.5197583020416201,37,704.0
120.0,43,898.0,6.27972027972028,7.732382117071182,43,898.0,0.4827212882955123,43,898.0
125.0,47,1126.0,7.76551724137931,7.651894130015187,47,1126.0,0.48571225693288717,47,1126.0
