step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.511767299696952,0,0.0,0.9574401571807949,0,0.0
10.0,0,0.0,0.0,12.591750781268171,0,0.0,0.9346765599684227,0,0.0
15.0,0,0.0,0.0,12.751235434231914,0,0.0,0.9327708090706472,0,0.0
20.0,0,0.0,0.0,12.517082608584525,0,0.0,0.9179752486245534,0,0.0
25.0,0,0.0,0.0,11.55883177191387,0,0.0,0.8687077759304468,0,0.0
30.0,3,10.0,0.19607843137254902,10.925059513189206,3,10.0,0.8382553158049013,3,10.0
35.0,4,30.0,0.5084745762711864,10.81796712330815,4,30.0,0.8209759032801416,4,30.0
40.0,5,54.0,0.8181818181818182,10.672405632471975,5,54.0,0.8132323138226635,5,54.0
45.0,2,3.0,0.04,10.775174112058915,2,10.0,0.8420186031079075,2,10.0
50.0,4,18.0,0.2222222222222222,11.05407887025838,4,18.0,0.814574178141385,4,18.0
55.0,7,36.0,0.3956043956043956,10.490620083542995,7,36.0,0.7656648842540178,7,36.0
60.0,14,91.0,0.9381443298969072,9.958921183100896,13,90.0,0.7124863379729118,13,90.0
65.0,9,96.0,0.9056603773584906,10.330862248686914,9,109.0,0.7526116482723623,9,109.0
70.0,9,141.0,1.2818181818181817,10.9602943839323,9,141.0,0.7896103470670388,9,141.0
75.0,11,193.0,1.6495726495726495,11.226033342711554,11,193.0,0.7648031075337739,11,193.0
80.0,12,226.0,1.8524590163934427,10.606506501417732,12,226.0,0.7216841387063784,12,226.0
85.0,20,312.0,2.456692913385827,9.379898033614625,20,311.0,0.6119763735077942,20,311.0
90.0,29,441.0,3.340909090909091,8.841384229856718,29,440.0,0.5639654772827434,29,440.0
95.0,32,299.0,2.198529411764706,8.044457427242723,32,473.0,0.5178987180831788,32,473.0
100.0,32,342.0,2.442857142857143,8.435845595308031,32,432.0,0.5549552108577649,32,432.0
105.0,15,114.0,0.8028169014084507,8.589415734062115,15,366.0,0.5733343732068654,15,366.0
110.0,15,131.0,0.903448275862069,9.844832819733798,15,239.0,0.6622552131331272,15,239.0
115.0,13,76.0,0.5241379310344828,9.74799024441673,13,245.0,0.6368104632701901,13,245.0
120.0,24,165.0,1.0855263157894737,9.826120835112546,24,271.0,0.6328927113868308,24,271.0
125.0,27,298.0,1.9866666666666666,9.709115209330244,27,398.0,0.60353417579881,27,398.0
130.0,35,454.0,2.8917197452229297,9.050075196876847,35,554.0,0.5433157529402131,35,554.0
135.0,42,657.0,4.266233766233766,8.534439200827087,42,757.0,0.5550597161480958,42,757.0
140.0,41,659.0,4.197452229299363,7.979318858211326,41,864.0,0.5140657269656147,41,864.0
145.0,41,721.0,4.563291139240507,7.812116861929107,41,884.0,0.5060872892439626,41,884.0
150.0,47,913.0,5.852564102564102,7.000985118965541,47,1089.0,0.4545259965266669,47,1089.0
155.0,56,1167.0,7.203703703703703,6.809791565007886,55,1340.0,0.43507300230558493,55,1340.0
160.0,65,1478.0,8.903614457831326,6.837489442585197,63,1643.0,0.4261359371850159,63,1643.0
165.0,57,880.0,5.301204819277109,6.462300266726187,57,1674.0,0.40031197859890716,57,1674.0
170.0,29,337.0,1.9707602339181287,7.516689988923249,29,1320.0,0.461809694125172,29,1320.0
175.0,25,361.0,2.0395480225988702,8.732061785719699,25,910.0,0.5351749620948263,25,910.0
180.0,29,495.0,2.734806629834254,9.300464235931964,29,748.0,0.5768741932905306,29,748.0
185.0,28,437.0,2.349462365591398,8.761565306047876,28,770.0,0.5129253480805069,28,770.0
190.0,37,388.0,2.0208333333333335,8.398702714855856,37,757.0,0.46781306249325716,37,757.0
195.0,32,427.0,2.2239583333333335,8.17708946269485,32,755.0,0.46893326640913247,32,755.0
200.0,30,512.0,2.598984771573604,9.031915555514544,30,775.0,0.5285543474084936,30,775.0
205.0,27,315.0,1.649214659685864,9.092859531005816,27,750.0,0.5450401255542487,27,750.0
210.0,28,242.0,1.2670157068062826,8.965015853472142,28,731.0,0.5345057126340764,28,731.0
215.0,23,243.0,1.2994652406417113,8.734444417275162,23,805.0,0.5192281812072456,23,805.0
220.0,25,335.0,1.8010752688172043,9.063204670814919,25,859.0,0.5320760103847808,25,859.0
