step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.350165663157298,0,0.0,0.9302118560815246,0,0.0
10.0,0,0.0,0.0,14.19423901476167,0,0.0,0.9378059349185218,0,0.0
15.0,0,0.0,0.0,13.854084483791748,0,0.0,0.957008690805098,0,0.0
20.0,0,0.0,0.0,12.962444465944536,0,0.0,0.9210899076657805,0,0.0
25.0,1,3.0,0.06976744186046512,13.124819188661155,1,3.0,0.8992877543765336,1,3.0
30.0,1,8.0,0.1568627450980392,12.66105252663655,1,8.0,0.8717738261527959,1,8.0
35.0,5,26.0,0.4406779661016949,11.14468476067673,5,26.0,0.7910534975436342,5,26.0
40.0,3,10.0,0.15151515151515152,10.656174612529162,3,12.0,0.8009889876179236,3,12.0
45.0,5,32.0,0.4266666666666667,12.046418119127829,5,32.0,0.8229692013446984,5,32.0
50.0,4,13.0,0.16049382716049382,11.277908569803865,4,30.0,0.7744166738432707,4,30.0
55.0,11,52.0,0.5714285714285714,10.476683854016086,11,52.0,0.6861045778908073,11,52.0
60.0,16,93.0,0.9587628865979382,10.12105357948821,16,103.0,0.6373721731269694,16,103.0
65.0,22,190.0,1.8095238095238095,9.768138169513302,22,190.0,0.6210688356790576,22,190.0
70.0,25,303.0,2.779816513761468,9.42582830879878,25,306.0,0.6217051723562277,25,306.0
75.0,28,436.0,3.824561403508772,8.978195418684706,28,436.0,0.5842019487672171,28,436.0
80.0,36,599.0,5.119658119658119,7.889527434820273,36,599.0,0.5247919884548304,36,599.0
85.0,21,217.0,1.75,8.565386394061315,21,521.0,0.5570014801711441,21,521.0
90.0,8,59.0,0.45384615384615384,10.202630582531906,8,247.0,0.6681388805213644,8,247.0
95.0,11,28.0,0.20588235294117646,10.003423465443483,11,171.0,0.6146050579806527,11,171.0
100.0,29,124.0,0.8671328671328671,9.357845522603993,29,240.0,0.5381766946241888,29,240.0
105.0,33,238.0,1.5866666666666667,9.318517772913792,33,362.0,0.540520271560408,33,362.0
110.0,34,397.0,2.664429530201342,9.157564752296283,33,502.0,0.5704124928932554,33,502.0
115.0,19,155.0,1.0333333333333334,9.003280673088671,19,483.0,0.5562878775877365,19,483.0
120.0,13,73.0,0.477124183006536,9.547885031552743,13,284.0,0.5817730548070429,13,284.0
125.0,14,87.0,0.564935064935065,9.087991468288136,14,311.0,0.5312058971928909,14,311.0
130.0,27,180.0,1.1320754716981132,8.874256562581753,27,402.0,0.5153476707434781,27,402.0
135.0,24,190.0,1.1515151515151516,8.732594887287215,24,396.0,0.523674770018011,24,396.0
140.0,17,208.0,1.2530120481927711,9.28328998080561,17,293.0,0.5567847056152744,17,293.0
145.0,19,255.0,1.536144578313253,9.048079696986877,19,360.0,0.5238414260684164,19,360.0
150.0,30,378.0,2.2366863905325443,9.26122927249048,30,461.0,0.5409461104931078,30,461.0
