step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.414991337604972,0,0.0,0.925596418533716,0,0.0
10.0,0,0.0,0.0,11.87357302775212,0,0.0,0.9317611247590158,0,0.0
15.0,0,0.0,0.0,12.090474887068515,0,0.0,0.9205282050908322,0,0.0
20.0,0,0.0,0.0,12.08913283286495,0,0.0,0.9097510608758982,0,0.0
25.0,1,2.0,0.046511627906976744,11.562108041856959,1,2.0,0.8728586791122082,1,2.0
30.0,3,12.0,0.23529411764705882,10.916596644795767,3,12.0,0.824899037894227,3,12.0
35.0,2,14.0,0.23728813559322035,11.553455526496181,2,14.0,0.8848052135045771,2,14.0
40.0,2,24.0,0.36363636363636365,12.064038400886119,2,24.0,0.8719549074516593,2,24.0
45.0,6,44.0,0.5866666666666667,11.324692062882963,6,44.0,0.8321205386561051,6,44.0
50.0,10,88.0,1.0864197530864197,10.448056598899637,10,88.0,0.7491311389817571,10,88.0
55.0,18,167.0,1.835164835164835,9.794611413275703,18,167.0,0.6736249409487018,18,167.0
60.0,26,281.0,2.8969072164948453,9.182230296063523,26,281.0,0.5940397178872521,26,281.0
65.0,33,434.0,4.09433962264151,8.571462033703217,33,434.0,0.5544740892630696,33,434.0
70.0,18,150.0,1.3157894736842106,8.816436134314877,18,364.0,0.5845368475184995,18,364.0
75.0,9,102.0,0.8360655737704918,10.43366882063625,9,156.0,0.6926401442279927,9,156.0
80.0,13,59.0,0.46825396825396826,9.052947567913469,13,138.0,0.5618996844302232,13,138.0
85.0,33,197.0,1.4924242424242424,8.831749786627194,33,251.0,0.5285142238192972,33,251.0
90.0,32,270.0,1.9424460431654675,8.721220830496696,32,357.0,0.5123066057489973,32,357.0
95.0,35,412.0,2.8413793103448275,9.05757425749516,35,486.0,0.5259971497927762,35,486.0
100.0,41,602.0,4.095238095238095,8.875380518773053,41,660.0,0.5301571650318072,41,660.0
105.0,24,275.0,1.8211920529801324,8.701638804857703,24,609.0,0.5340749949505702,24,609.0
110.0,9,64.0,0.4050632911392405,9.728224773925836,9,294.0,0.6030648570135192,9,294.0
115.0,17,98.0,0.6163522012578616,9.52956932168651,17,309.0,0.5516300811997822,17,309.0
120.0,33,212.0,1.3333333333333333,8.921844162470283,33,413.0,0.5170263237313892,33,413.0
125.0,25,231.0,1.44375,8.982115518567493,25,430.0,0.5315412258454874,25,430.0
130.0,17,252.0,1.5365853658536586,10.266377275966258,17,331.0,0.6315441233599345,17,331.0
135.0,17,135.0,0.823170731707317,9.751649958302478,17,314.0,0.5723217785894991,17,314.0
140.0,30,195.0,1.196319018404908,9.290190145044896,30,327.0,0.5412702046599143,30,327.0
145.0,22,221.0,1.3313253012048192,9.039697086040523,22,353.0,0.5287543872141712,22,353.0
150.0,22,306.0,1.9125,9.986897509229962,22,374.0,0.6046858400896542,22,374.0
155.0,15,136.0,0.8831168831168831,9.997171599698953,15,339.0,0.5925540701928645,15,339.0
160.0,20,145.0,0.9294871794871795,9.954741042501087,20,318.0,0.6021660940718143,20,318.0
165.0,11,119.0,0.7677419354838709,10.357386447874465,11,341.0,0.6241096738012843,11,341.0
170.0,18,181.0,1.1383647798742138,10.83850819980095,18,361.0,0.6249782151940334,18,361.0
175.0,21,241.0,1.5253164556962024,10.57526459877113,21,422.0,0.6102761799403655,21,422.0
180.0,24,308.0,1.9617834394904459,9.594428020709076,23,491.0,0.5480651841672761,23,491.0
185.0,28,195.0,1.2111801242236024,8.852178735688021,28,486.0,0.49399063997152426,28,486.0
190.0,34,255.0,1.5838509316770186,8.289633686788175,34,522.0,0.44745221003932834,34,522.0
195.0,26,183.0,1.150943396226415,8.598477469662308,26,577.0,0.49322491392041184,26,577.0
200.0,27,253.0,1.65359477124183,9.33122505834234,27,555.0,0.5502672399034496,27,555.0
205.0,24,207.0,1.3018867924528301,9.578523294264471,24,577.0,0.5723694040170768,24,577.0
210.0,26,240.0,1.518987341772152,9.71448779320081,26,512.0,0.5565091307505339,26,512.0
215.0,32,336.0,2.1132075471698113,9.440694598444301,32,600.0,0.5348877313737295,32,600.0
220.0,34,478.0,2.896969696969697,9.48966006779831,34,722.0,0.5341301243698492,34,722.0
225.0,28,463.0,2.8404907975460123,9.092119926583527,28,777.0,0.5296039609937129,28,777.0
230.0,31,538.0,3.3209876543209877,9.264223036076926,31,817.0,0.5307196144054734,31,817.0
235.0,31,418.0,2.5180722891566263,8.944001086489555,31,818.0,0.49920105053559577,31,818.0
240.0,36,295.0,1.8209876543209877,8.684046202036477,36,770.0,0.49126435260754636,36,770.0
245.0,26,308.0,1.925,8.585212001497212,26,754.0,0.4936199169689507,26,754.0
250.0,28,420.0,2.641509433962264,9.313930074402998,28,830.0,0.5326265256151126,28,830.0
255.0,34,578.0,3.6125,9.175380630820992,34,946.0,0.5114529492434464,34,946.0
260.0,40,765.0,4.693251533742331,8.813130652105354,40,1120.0,0.4903819802489706,40,1120.0
265.0,44,976.0,5.707602339181286,9.032109925690913,44,1331.0,0.48865436144862373,44,1331.0
270.0,50,1215.0,7.023121387283237,9.0822057498525,50,1570.0,0.4913176803816159,50,1570.0
275.0,50,1281.0,7.535294117647059,8.49330677771871,50,1669.0,0.44869433801883696,50,1669.0
280.0,50,1301.0,7.790419161676646,7.928684195565946,50,1622.0,0.4117758228647138,50,1622.0
285.0,42,872.0,5.190476190476191,7.832215427173575,42,1513.0,0.4440523812269623,42,1513.0
290.0,46,625.0,3.654970760233918,7.847730071651147,45,1400.0,0.43643871909682624,45,1400.0
295.0,45,552.0,3.2857142857142856,7.626072208811032,45,1526.0,0.4299136248507856,45,1526.0
300.0,44,592.0,3.4823529411764707,7.487177910849189,44,1677.0,0.4179779000807793,44,1677.0
305.0,32,237.0,1.3542857142857143,7.650863042071581,32,1685.0,0.4263392940590426,32,1685.0
310.0,30,267.0,1.467032967032967,8.74971954344628,30,1480.0,0.5018187976143658,30,1480.0
315.0,35,291.0,1.547872340425532,8.76289707583352,35,1434.0,0.47520029154317367,35,1434.0
320.0,43,362.0,1.9358288770053476,8.599919231334185,43,1407.0,0.4788391170261764,43,1407.0
325.0,32,364.0,1.946524064171123,8.288018775577623,32,1502.0,0.4568872621562542,32,1502.0
330.0,32,462.0,2.497297297297297,8.97390435504959,32,1595.0,0.5056454221280445,32,1595.0
335.0,37,522.0,2.8369565217391304,8.396311838214919,37,1633.0,0.45098821703103953,37,1633.0
340.0,35,606.0,3.2580645161290325,8.227542650858615,35,1514.0,0.4385859368346871,35,1514.0
345.0,43,772.0,4.195652173913044,8.373848490895806,43,1444.0,0.46060360471882567,43,1444.0
350.0,26,761.0,4.227777777777778,7.806186244482962,26,1539.0,0.45363595498523024,26,1539.0
355.0,32,906.0,4.978021978021978,8.649967802053238,32,1589.0,0.5111938630739853,32,1589.0
360.0,36,1076.0,5.816216216216216,8.84921156431459,36,1756.0,0.5070037655480143,36,1756.0
365.0,36,1179.0,6.623595505617978,8.11593598002447,36,1835.0,0.47869858752567934,36,1835.0
370.0,42,1321.0,7.258241758241758,8.066540673206779,42,1804.0,0.4688569847266003,42,1804.0
375.0,36,1427.0,8.062146892655367,8.047548465355773,36,1944.0,0.485593403928709,36,1944.0
380.0,41,1585.0,9.057142857142857,8.198915015565003,41,2113.0,0.4769263192506665,41,2113.0
385.0,42,1736.0,9.92,7.718582750235684,42,2253.0,0.4564635438132539,42,2253.0
390.0,45,1912.0,10.56353591160221,7.391512644941038,45,2408.0,0.43440130081042455,45,2408.0
395.0,45,2128.0,11.822222222222223,7.316757197365089,45,2538.0,0.4136489105007458,45,2538.0
400.0,36,2206.0,12.324022346368714,7.523641065707159,36,2633.0,0.44861452449658734,36,2633.0
405.0,41,2403.0,13.576271186440678,8.173264812485144,41,2780.0,0.49138602124696523,41,2780.0
410.0,43,2587.0,14.53370786516854,7.993962011159479,43,2945.0,0.47475550615940726,43,2945.0
415.0,47,2793.0,15.779661016949152,7.690175235541137,47,3081.0,0.45509806993629653,47,3081.0
420.0,44,2113.0,11.937853107344633,7.095239639335834,44,2926.0,0.42189618201614276,44,2926.0
425.0,51,1227.0,6.816666666666666,6.931478918936809,51,2522.0,0.4020336952110479,51,2522.0
430.0,54,825.0,4.483695652173913,6.848480512532661,54,2053.0,0.3963018460341901,54,2053.0
435.0,48,588.0,3.1956521739130435,6.575218329869974,48,2244.0,0.38855178094915455,48,2244.0
440.0,52,699.0,3.6984126984126986,6.503388021964054,52,2449.0,0.37085314293301896,52,2449.0
445.0,61,908.0,4.680412371134021,6.438428880730946,61,2498.0,0.36109019656137176,61,2498.0
450.0,65,1153.0,5.974093264248705,6.498105084063317,65,2214.0,0.3584614813715848,65,2214.0
455.0,65,1371.0,7.103626943005182,6.118444668223573,65,2490.0,0.3475889141083267,65,2490.0
460.0,68,1636.0,8.262626262626263,6.289173930700156,68,2742.0,0.34833302531446686,68,2742.0
465.0,77,1977.0,9.55072463768116,6.412811983946682,77,3054.0,0.34829359577391195,77,3054.0
470.0,64,1228.0,5.819905213270142,6.317347859112621,64,3006.0,0.354898523514785,64,3006.0
475.0,47,403.0,1.8571428571428572,7.397093448474753,47,2415.0,0.3974052313700057,47,2415.0
480.0,40,449.0,2.0596330275229358,7.508664052515877,40,2490.0,0.4119114241890011,40,2490.0
485.0,62,672.0,3.0407239819004523,6.851496139460856,62,2691.0,0.3425694137681992,62,2691.0
490.0,75,804.0,3.5733333333333333,6.441694203014556,75,2798.0,0.3259084635635329,75,2798.0
495.0,78,892.0,4.018018018018018,6.1517806693402965,78,2695.0,0.31477107458767584,78,2695.0
500.0,64,683.0,3.049107142857143,6.230290638817287,64,2587.0,0.3341711808381838,64,2587.0
505.0,36,279.0,1.2567567567567568,7.091596652885882,36,2047.0,0.3786877774557996,36,2047.0
510.0,36,221.0,0.9866071428571429,7.15797869061187,36,2053.0,0.3756988067506153,36,2053.0
515.0,59,376.0,1.6563876651982379,6.944405579674404,59,2217.0,0.3358129060032387,59,2217.0
520.0,63,474.0,2.051948051948052,6.868311617698735,63,2310.0,0.32978529633097775,63,2310.0
525.0,51,558.0,2.4366812227074237,7.5383149801385345,51,2157.0,0.376783075150809,51,2157.0
530.0,47,538.0,2.349344978165939,7.371868978949246,47,2145.0,0.36887632104335194,47,2145.0
535.0,61,526.0,2.369369369369369,6.668079799345839,61,2044.0,0.3275406256188782,61,2044.0
540.0,62,442.0,1.9820627802690582,6.789549149939832,62,2187.0,0.33517886707985955,62,2187.0
545.0,69,618.0,2.7837837837837838,6.686539541131699,69,2347.0,0.3400040841849098,69,2347.0
550.0,64,520.0,2.3529411764705883,6.479050192518735,64,2455.0,0.3457439016190197,64,2455.0
555.0,43,364.0,1.6106194690265487,7.563460094253195,43,2325.0,0.4106292152239917,43,2325.0
560.0,50,414.0,1.831858407079646,7.453824826608093,50,2410.0,0.38972797988495256,50,2410.0
565.0,60,611.0,2.7772727272727273,6.799924993591195,60,2571.0,0.33555715239530415,60,2571.0
570.0,56,712.0,3.2217194570135748,6.853891093525587,56,2713.0,0.3669956152916108,56,2713.0
575.0,40,818.0,3.7522935779816513,7.454269284380624,40,2690.0,0.41007350715750535,40,2690.0
580.0,43,738.0,3.432558139534884,7.041094084776285,43,2596.0,0.3929890199375396,43,2596.0
585.0,53,634.0,2.921658986175115,6.526743466448281,53,2281.0,0.34360170993094713,53,2281.0
590.0,58,486.0,2.25,6.5280151125708,58,2453.0,0.35478384335008145,58,2453.0
595.0,63,539.0,2.45,6.367973302088502,63,2599.0,0.34266113753112015,63,2599.0
600.0,70,804.0,3.6380090497737556,6.3154950595389865,70,2856.0,0.3240405409734518,70,2856.0
605.0,82,1137.0,5.168181818181818,6.322291303237446,82,3072.0,0.33832427833884093,82,3072.0
610.0,70,921.0,4.205479452054795,6.183789483829641,70,3204.0,0.33809448769291855,70,3204.0
615.0,58,637.0,2.8823529411764706,6.775326615585074,58,3052.0,0.35498403069300755,58,3052.0
620.0,56,697.0,3.111607142857143,6.793885790813824,56,3225.0,0.34762981463170417,56,3225.0
625.0,65,901.0,4.004444444444444,6.435755190694937,65,3486.0,0.3263611353939725,65,3486.0
630.0,80,1249.0,5.575892857142857,5.955619949371441,80,3764.0,0.2912838857609442,80,3764.0
635.0,88,1383.0,6.01304347826087,5.885250086366998,88,3866.0,0.28405998501089874,88,3866.0
640.0,89,1435.0,6.1587982832618025,6.039955489697467,89,3827.0,0.2819103195324241,89,3827.0
645.0,91,1592.0,6.921739130434783,5.970255314870508,91,3675.0,0.30046892400253994,91,3675.0
650.0,73,1072.0,4.640692640692641,5.708072773936056,73,3695.0,0.2986148191765726,73,3695.0
655.0,52,607.0,2.594017094017094,6.573892277823025,52,3280.0,0.3262833202704236,52,3280.0
660.0,49,518.0,2.213675213675214,6.525132159148199,49,3309.0,0.3269995388815428,49,3309.0
665.0,63,649.0,2.7854077253218885,6.2995996559983345,63,3188.0,0.3203128045821942,63,3188.0
670.0,60,735.0,3.1012658227848102,6.447195498346895,60,3137.0,0.3161313087826626,60,3137.0
675.0,56,875.0,3.6307053941908713,7.297898344333543,56,2853.0,0.3574484743028858,56,2853.0
680.0,58,733.0,3.0541666666666667,7.033968282021946,58,2854.0,0.33205352212357786,58,2854.0
685.0,71,778.0,3.2148760330578514,7.123898472840171,71,2970.0,0.3449013030730262,71,2970.0
690.0,68,811.0,3.3512396694214877,6.840747332594324,68,3113.0,0.3169837349580836,68,3113.0
695.0,61,869.0,3.590909090909091,7.484893254039807,61,3028.0,0.3396380750292971,61,3028.0
700.0,57,893.0,3.720833333333333,7.108568674396515,57,3130.0,0.33687751651417946,57,3130.0
705.0,68,1069.0,4.491596638655462,6.8780703323648575,68,3145.0,0.32192522347621855,68,3145.0
710.0,77,1002.0,4.263829787234043,6.393407549824266,77,3275.0,0.3014816042958999,77,3275.0
715.0,72,917.0,3.8529411764705883,6.7569438751983695,72,3294.0,0.3363904845002911,72,3294.0
720.0,52,581.0,2.537117903930131,6.354227972191455,52,3217.0,0.3259839283339285,52,3217.0
725.0,41,300.0,1.3043478260869565,7.325283968764771,41,3101.0,0.3767091862327997,41,3101.0
730.0,37,226.0,0.9868995633187773,7.119812090402268,37,3121.0,0.3666612808918669,37,3121.0
735.0,49,315.0,1.3695652173913044,6.883580457176088,49,3199.0,0.33228145656918656,49,3199.0
740.0,64,449.0,1.9521739130434783,6.47183943566842,64,3315.0,0.29064432825738395,64,3315.0
745.0,76,618.0,2.7224669603524227,6.0926403368577775,76,3279.0,0.28035504754211504,76,3279.0
750.0,59,523.0,2.314159292035398,6.250565016909831,59,3322.0,0.32206130884379974,59,3322.0
755.0,52,410.0,1.7982456140350878,6.936553848297324,52,3151.0,0.3370355101702741,52,3151.0
760.0,54,449.0,1.969298245614035,6.443949909870926,54,3278.0,0.3164963349273945,54,3278.0
765.0,65,625.0,2.6939655172413794,6.588919434033653,65,3352.0,0.32471263116967164,65,3352.0
