step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.857924402307875,0,0.0,0.94199086905956,0,0.0
10.0,0,0.0,0.0,14.063920496259636,0,0.0,0.9463569567137109,0,0.0
15.0,0,0.0,0.0,13.880245902902502,0,0.0,0.9659153858967897,0,0.0
20.0,0,0.0,0.0,13.649838962002908,0,0.0,0.9441585993258915,0,0.0
25.0,1,1.0,0.023255813953488372,12.39494888983346,1,1.0,0.8851054569535995,1,1.0
30.0,0,0.0,0.0,12.539159761921047,0,0.0,0.9399294726248822,0,0.0
35.0,0,0.0,0.0,12.903514091253928,0,0.0,0.9148535516831341,0,0.0
40.0,1,1.0,0.015151515151515152,12.40102174216903,1,1.0,0.8853946914719918,1,1.0
45.0,4,10.0,0.13333333333333333,12.061342172994426,4,9.0,0.822161421785969,4,9.0
50.0,2,8.0,0.09876543209876543,12.157388691102073,2,11.0,0.8498178256369365,2,11.0
55.0,3,20.0,0.22727272727272727,12.386201471198097,3,20.0,0.8408080692926009,3,20.0
60.0,4,34.0,0.38202247191011235,11.51577690835248,4,34.0,0.7875285180871887,4,34.0
65.0,14,93.0,0.96875,10.523710410773031,14,93.0,0.7085340563630805,14,93.0
70.0,14,88.0,0.8461538461538461,9.56557173379159,14,110.0,0.6291235078510415,14,110.0
75.0,24,182.0,1.6545454545454545,9.122600567651125,24,184.0,0.600082512474377,24,184.0
80.0,30,278.0,2.396551724137931,8.072812936456243,30,297.0,0.5071142057103664,30,297.0
85.0,35,432.0,3.5702479338842976,8.0210553788441,35,449.0,0.5166006418532009,35,449.0
90.0,21,158.0,1.234375,8.36549857063794,21,428.0,0.5559695097832482,21,428.0
95.0,13,99.0,0.7443609022556391,9.644604334933,13,205.0,0.6428977091602824,13,205.0
100.0,14,166.0,1.1942446043165467,10.338220312159912,14,196.0,0.6814506852859301,14,196.0
105.0,15,136.0,0.9379310344827586,9.728603648924164,15,224.0,0.6042820984091926,15,224.0
110.0,29,254.0,1.6933333333333334,9.681425670655939,29,286.0,0.5736607522534241,29,286.0
115.0,15,250.0,1.6129032258064515,10.022707053377228,15,335.0,0.6474256026159032,15,335.0
120.0,17,323.0,2.0314465408805034,10.843359060759294,17,341.0,0.6821345778086567,17,341.0
125.0,9,132.0,0.8516129032258064,10.815819779332333,9,283.0,0.6987084378444405,9,283.0
130.0,14,56.0,0.36363636363636365,10.185028661548087,14,218.0,0.6709860949567429,14,218.0
135.0,16,108.0,0.6923076923076923,9.916958585173067,16,210.0,0.6137582217277621,16,210.0
140.0,24,216.0,1.4025974025974026,9.346243274482614,24,234.0,0.5921098005634471,24,234.0
145.0,33,367.0,2.3986928104575163,9.001957684466046,33,373.0,0.5585293679596218,33,373.0
150.0,35,432.0,2.751592356687898,8.55888181312907,35,497.0,0.5320154371406957,35,497.0
155.0,41,614.0,3.8860759493670884,8.367149302143273,41,626.0,0.5088620963393288,41,626.0
160.0,44,800.0,5.095541401273885,8.079476726206137,44,821.0,0.49223039322075024,44,821.0
165.0,44,996.0,6.343949044585988,7.94781463982822,44,1012.0,0.4870555914230587,44,1012.0
170.0,30,434.0,2.6790123456790123,7.920038122250982,30,900.0,0.49027327446654795,30,900.0
175.0,15,83.0,0.5220125786163522,8.98731168526626,15,482.0,0.5643486886579097,15,482.0
180.0,17,90.0,0.5660377358490566,8.6807885930063,17,481.0,0.5325752280913693,17,481.0
185.0,36,223.0,1.3515151515151516,8.257880717862538,36,587.0,0.4930328928617734,36,587.0
190.0,29,236.0,1.388235294117647,8.286390608316793,29,581.0,0.48984582066421856,29,581.0
195.0,20,239.0,1.3735632183908046,9.163003333458468,20,380.0,0.5632373863782002,20,380.0
200.0,21,326.0,1.8314606741573034,9.695396787413635,21,363.0,0.6221893203579824,21,363.0
205.0,19,380.0,2.159090909090909,9.548724322624699,19,443.0,0.6191211953091413,19,443.0
210.0,25,437.0,2.5114942528735633,9.528448222953791,25,512.0,0.5983533135505436,25,512.0
215.0,18,472.0,2.697142857142857,9.74682553861075,18,571.0,0.6261966017775968,18,571.0
220.0,24,558.0,3.134831460674157,9.700573839261363,24,633.0,0.6017879553220273,24,633.0
225.0,28,648.0,3.745664739884393,9.374904175567146,28,732.0,0.5852302618497297,28,732.0
230.0,31,781.0,4.704819277108434,9.414351107332493,30,816.0,0.5853185559530998,30,816.0
235.0,30,415.0,2.5,8.914660718434552,30,772.0,0.5272112129814184,30,772.0
240.0,28,252.0,1.565217391304348,8.630213459276804,28,600.0,0.5340716048105928,28,600.0
245.0,22,115.0,0.7098765432098766,8.387830177532734,22,594.0,0.513814280276274,22,594.0
250.0,20,145.0,0.8734939759036144,9.5298773592872,20,533.0,0.5818972869919116,20,533.0
255.0,24,143.0,0.8511904761904762,9.03350782725292,24,585.0,0.5338919722236632,24,585.0
260.0,29,257.0,1.5864197530864197,9.033931131465415,29,662.0,0.5501834246059875,29,662.0
265.0,39,435.0,2.685185185185185,8.814113238850734,39,813.0,0.5190719803048351,39,813.0
270.0,31,433.0,2.6402439024390243,8.286744191192824,31,878.0,0.4927812412905624,31,878.0
275.0,31,533.0,3.2303030303030305,9.289478479786938,31,922.0,0.5511140029393631,31,922.0
280.0,27,602.0,3.604790419161677,9.119715197785345,27,1027.0,0.5568077542654658,27,1027.0
285.0,32,731.0,4.2748538011695905,8.773677100050424,32,1134.0,0.5183435444969149,32,1134.0
290.0,42,925.0,5.255681818181818,8.63984175833184,42,1313.0,0.500089526450165,42,1313.0
295.0,34,985.0,5.69364161849711,8.307754265419835,34,1417.0,0.5004226096510269,34,1417.0
300.0,33,1092.0,6.538922155688622,8.842478782987154,33,1487.0,0.5216990531654473,33,1487.0
305.0,33,1219.0,7.5246913580246915,8.71507418412599,33,1643.0,0.5178281136938834,33,1643.0
310.0,39,1381.0,8.36969696969697,8.33175754897155,39,1806.0,0.48801199072905893,39,1806.0
315.0,41,1026.0,6.071005917159764,8.358640423878821,40,1690.0,0.4945733844813876,40,1690.0
320.0,40,569.0,3.308139534883721,8.25833766581429,40,1587.0,0.4781739721466141,40,1587.0
325.0,41,450.0,2.6785714285714284,8.042218238655323,41,1343.0,0.4620629399779085,41,1343.0
330.0,30,250.0,1.4970059880239521,7.965188241699781,30,1358.0,0.47406377136586636,30,1358.0
335.0,23,238.0,1.4166666666666667,9.055585823104686,23,1246.0,0.5269684410260116,23,1246.0
340.0,25,156.0,0.9454545454545454,8.746862958373654,25,1279.0,0.4881815591060412,25,1279.0
345.0,36,245.0,1.4244186046511629,8.41538330743849,36,1363.0,0.44606428041526885,36,1363.0
350.0,48,466.0,2.647727272727273,8.425202206919817,48,1549.0,0.43198827491912967,48,1549.0
355.0,54,729.0,4.11864406779661,8.352081498265608,54,1781.0,0.4374117186373417,54,1781.0
360.0,43,690.0,3.942857142857143,8.032454654050184,43,1855.0,0.4319336345532093,43,1855.0
